Name,Spotify ID
cassö,5wCmhq5J2hPwL2r0eKurxn
Udit Narayan,70B80Lwx2sxti0M1Ng9e8K
Kesha,6LqNN22kT3074XbTVUrhzX
Joji,3MZsBdqDrRTJihTHQrO6Dq
Polo G,6AgTAQt8XS6jRWi4sX7w49
KK,4fEkbug6kZzzJ8eYX6Kbbp
Yeat,3qiHUAX7zY4Qnjx8TNUzVx
Em Beihold,7o2ZQYM7nTsaVdkXY38UAA
Clean Bandit,6MDME20pz9RveH9rEXvrOM
Oasis,2DaxqgrOhkeH0fpeiQq2f4
Outkast,1G9G7WwrXka3Z1r7aIDjI7
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
Bryan Adams,3Z02hBLubJxuFJfhacLSDc
Camilo,28gNT5KBp7IjEOQoevXf9N
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE
TOTO,0PFtn5NtBbbUNbU9EAmIWF
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov
Duki,1bAftSH8umNcGZ0uyV7LMg
Reik,0vR2qb8m9WHeZ5ByCbimq2
Manan Bhardwaj,3pQ4aA7dkolyjUAMrVScgh
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG
Skrillex,5he5w2lnU9x7JFhnwcekXX
Dave,2TI7qyDE0QfyOlnbtfDo7L
Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a
Coi Leray,6AMd49uBDJfhf30Ak2QR5s
League of Legends,47mIJdHORyRerp4os813jD
Eagles,0ECwFtbIWEVNwjlrfc6xoL
Keane,53A0W3U0s8diEn9RhXQhVz
TINI,7vXDAI8JwjW531ouMGbfcp
Rels B,2IMZYfNi21MGqxopj9fWx8
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j
Milo j,19HM5j0ULGSmEoRcrSe5x3
MEDUZA,0xRXCcSX89eobfrshSVdyu
Dean Lewis,3QSQFmccmX81fWCUSPTS7y
Migos,6oMuImdp5ZcFhWP0ESe6mG
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
Jason Mraz,4phGZZrJZRo4ElhRtViYdl
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
blink-182,6FBDaR13swtiWwGhX1WQsP
Nelly,2gBjLmx6zQnFGQJCAQpRgw
Train,3FUY2gzHeIiaesXtOAdB7A
NewJeans,6HvZYsbFfjnjFrWF950C9d
Ruth B.,2WzaAvm2bBCf4pEhyuDgCY
LUDMILLA,3CDoRporvSjdzTrm99a3gi
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi
French Montana,6vXTefBL93Dj5IqAWq6OTv
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H
The Offspring,5LfGQac0EIXyAN8aUwmNAQ
Emilia,0AqlFI0tz2DsEoJlKSIiT9
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t
Lauv,5JZ7CnR6gTvEMKX4g70Amv
The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA
Sech,77ziqFxp5gaInVrF2lj4ht
Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9
a-ha,2jzc5TC5TVFLXQlBNiIUzE
Calle 24,6dLuQ5qXxIuWc5urxfIiZR
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM
Zion & Lennox,21451j1KhjAiaYKflxBjr1
System Of A Down,5eAWCfyUhZtHHtBdNk56l1
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV
BLACKPINK,41MozSoPIsD1dJM0CLPjZF
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9
The Script,3AQRLZ9PuTAozP28Skbq8V
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj
Burna Boy,3wcj11K77LjEY1PkEazffa
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ
Lil Yachty,6icQOAFXDZKsumw3YXyusw
Journey,0rvjqX7ttXeg3mTy8Xscbt
benny blanco,5CiGnKThu5ctn9pBxv7DGa
Big Sean,0c173mlxpT3dSFRgMO8XPh
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g
Atif Aslam,2oSONSC9zQ4UonDKnLqksx
Mc Gw,0f1IECbrVV952unZkzrsg2
Sonu Nigam,1dVygo6tRFXC8CSWURQJq2
Led Zeppelin,36QJpDe2go2KgaRleHCDTp
MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY
Jubin Nautiyal,1tqysapcCh1lWEAc9dIFpa
Juanes,0UWZUmn7sybxMCqrw9tGa7
YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I
G-Eazy,02kJSzxNuaWGqwubyUba0Z
Ana Castela,2CKOmarVWvWqkNWUatHCex
Vishal Dadlani,6CXEwIaXYfVJ84biCxqc9k
iñigo quintero,0jbo7KFNMiIkfBR6ih0yhm
Darshan Raval,2GoeZ0qOTt6kjsWW4eA6LS
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs
Amy Winehouse,6Q192DXotxtaysaqNPy5yR
George Michael,19ra5tSw0tWufvUp8GotLo
Aventura,1qto4hHid1P71emI6Fd8xi
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4
Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju
Ñengo Flow,12vb80Km0Ew53ABfJOepVz
R.E.M.,4KWTAlx2RvbpseOGMEmROg
Little Mix,3e7awlrlDSwF3iM0WBjGMp
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj
Alka Yagnik,3gBKY0y3dFFVRqicLnVZYz
PNAU,6n28c9qs9hNGriNa72b26u
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T
Maná,7okwEbXzyT2VffBmyQBWLz
Shankar-Ehsaan-Loy,0L5GV6LN8SWWUWIdBbTLTZ
The Cure,7bu3H8JO7d0UbMoVzbo70s
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP
Jessie J,2gsggkzM5R49q6jpPvazou
Becky Hill,4EPJlUEBy49EX1wuFOvtjK
Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS
Alesso,4AVFqumd2ogHFlRbKIjp1t
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
De La Ghetto,3EiLUeyEcA6fbRPSHkG5kb
Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP
B.o.B,5ndkK3dpZLKtBklKjxNQwT
Piso 21,4bw2Am3p9ji3mYsXNXtQcd
Dido,2mpeljBig2IXLXRAFO9AAs
Nickelback,6deZN1bslXzeGvOLaLMOIF
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR
The White Stripes,4F84IBURUo98rz4r61KF70
Jaani,5gZhfbckaWo89OzDSk3gdT
Luis R Conriquez,0pePYDrJGk8gqMRbXrLJC8
Ofenbach,4AKwRarlmsUlLjIwt38NLw
beabadoobee,35l9BRT7MXmM8bv2WDQiyB
Eyedress,3XxNRirzbjfLdDli06zMaB
Christina Perri,7H55rcKCfwqkyDFH9wpKM6
Prince Royce,3MHaV05u0io8fQbZ2XPtlC
Sachet Tandon,6WOdPJmexxFINcKMkP2jMG
Luis Miguel,2nszmSgqreHSdJA3zWPyrW
Cris Mj,1Yj5Xey7kTwvZla8sqdsdE
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0
Chinmayi,5UJ2sHO2ELrgW6aXeRLTQQ
B Praak,56SjZARoEvag3RoKWIb16j
Banda MS de Sergio Lizárraga,2C6i0I5RiGzDKN9IAF8reh
Fred again..,4oLeXFyACqeem2VImYeBFe
Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg
The Walters,027TpXKGwdXP7iwbjUSpV8
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx
Sunidhi Chauhan,3eDT9fwXKuHWFvgZaaYC5v
Gesaffelstein,3hteYQFiMFbJY7wS0xDymP
Passenger,0gadJ2b9A4SKsB1RFkBb66
Darell,1TtXnWcUs0FCkaZDPGYHdf
Key Glock,0RESbWvOMyua0yuyVrztJ5
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT
girl in red,3uwAm6vQy7kWPS2bciKWx9
Asees Kaur,1sVmXkzX2ukc6QvasrDBES
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW
blackbear,2cFrymmkijnjDg9SS92EPM
Shaggy,5EvFsr3kj42KNv97ZEnqij
Disclosure,6nS5roXSAGhTGr34W6n7Et
NF,6fOMl44jA4Sp5b9PpYCkzz
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR
MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ
Lunay,47MpMsUfWtgyIIBEFOr4FE
Edgardo Nuñez,0mA4dkNGiN4fqTBi2SLlAv
Steve Aoki,77AiFEVeAVj2ORpC85QVJs
The Smiths,3yY2gUcIsjMr8hjo51PoJ8
Annie Lennox,5MspMQqdVbdwP6ax3GXqum
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP
Ice Cube,3Mcii5XWf6E0lrY3Uky4cA
Imanbek,5rGrDvrLOV2VV8SCFVGWlj
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7
Michael Bublé,1GxkXlMwML1oSg5eLPiAz3
Mithoon,09UmIX92EUH9hAK4bxvHx6
Morat,5C4PDR4LnhZTbVnKWXuDKD
MGMT,0SwO7SWeDHJijQ3XNS7xEE
Eden Muñoz,1gJdf4Yybu4X5A2xYV3NMV
Himesh Reshammiya,0sSxphmGskGCKlwB9xa6WU
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3
Gym Class Heroes,4IJczjB0fJ04gs4uvP0Fli
Kungs,7keGfmQR4X5w0two1xKZ7d
Zedd,2qxJFvFYMEDqd7ui6kSAcq
